SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,AP,Andhra Pradesh,AP_Andhra Pradesh,Anantapur,158141,91,156957,1093,0,17,10,7,0,0.0,2021-12-10 23:55:19.093038
1,AP,Andhra Pradesh,AP_Andhra Pradesh,Chittoor,248268,271,246039,1958,0,14,-6,19,1,0.0,2021-12-10 23:55:19.093038
2,AP,Andhra Pradesh,AP_Andhra Pradesh,East Godavari,294871,407,293174,1290,0,21,4,17,0,0.0,2021-12-10 23:55:19.093038
3,AP,Andhra Pradesh,AP_Andhra Pradesh,Guntur,179044,191,177599,1254,0,28,0,28,0,0.0,2021-12-10 23:55:19.093038
4,AP,Andhra Pradesh,AP_Andhra Pradesh,Krishna,120475,260,118748,1467,0,13,-29,41,1,0.0,2021-12-10 23:55:19.093038
5,AP,Andhra Pradesh,AP_Andhra Pradesh,Kurnool,124205,7,123344,854,0,1,1,0,0,0.0,2021-12-10 23:55:19.093038
6,AP,Andhra Pradesh,AP_Andhra Pradesh,Other Countries,434,0,434,0,0,0,0,0,0,0.0,2021-12-10 23:55:19.093038
7,AP,Andhra Pradesh,AP_Andhra Pradesh,Other States,2461,0,2461,0,0,0,0,0,0,0.0,2021-12-10 23:55:19.093038
8,AP,Andhra Pradesh,AP_Andhra Pradesh,Prakasam,138747,58,137560,1129,0,4,-1,5,0,0.0,2021-12-10 23:55:19.093038
9,AP,Andhra Pradesh,AP_Andhra Pradesh,S.P.S. Nellore,146947,180,145713,1054,0,6,-17,23,0,0.0,2021-12-10 23:55:19.093038
10,AP,Andhra Pradesh,AP_Andhra Pradesh,Srikakulam,123539,98,122651,790,0,7,-3,10,0,0.0,2021-12-10 23:55:19.093038
11,AP,Andhra Pradesh,AP_Andhra Pradesh,Visakhapatnam,158617,221,157261,1135,0,10,-16,26,0,0.0,2021-12-10 23:55:19.093038
12,AP,Andhra Pradesh,AP_Andhra Pradesh,Vizianagaram,83090,33,82384,673,0,2,0,2,0,0.0,2021-12-10 23:55:19.093038
13,AP,Andhra Pradesh,AP_Andhra Pradesh,West Godavari,179805,147,178537,1121,0,17,9,8,0,0.0,2021-12-10 23:55:19.093038
14,AP,Andhra Pradesh,AP_Andhra Pradesh,Y.S.R. Kadapa,115908,25,115239,644,0,2,0,2,0,0.0,2021-12-10 23:55:19.093038
15,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Anjaw,1068,0,1065,3,0,0,0,0,0,0.0,2021-12-10 21:45:25
16,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Changlang,3809,0,3787,22,0,0,0,0,0,0.0,2021-12-10 21:45:25
17,AR,Arunachal Pradesh,AR_Arunachal Pradesh,East Kameng,1094,0,1094,0,0,0,0,0,0,0.0,2021-12-10 21:45:25
18,AR,Arunachal Pradesh,AR_Arunachal Pradesh,East Siang,3222,1,3204,17,0,0,0,0,0,0.0,2021-12-10 21:45:25
