State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Migrated_Other,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
India,34752164,34195060,478007,79097,2021-12-21 11:47:17.808249,0,TT,5326,8043,453,
Andhra Pradesh,2075879,2059882,14480,1517,2021-12-20 23:55:27.341937,0,AP,75,154,1,
Arunachal Pradesh,55322,55020,280,22,2021-12-21 11:29:08.469659,0,AR,2.0,3.0,0.0,
Assam,619586,611135,6149,2302,2021-12-21 11:29:08.469659,0,AS,94,119,2,
Bihar,726376,714198,12093,85,2021-12-21 11:29:08.469659,0,BR,5.0,6.0,0.0,
Chhattisgarh,1007412,993513,13595,304,2021-12-20 23:08:52,0,CT,13,41,0,
Goa,179769,175888,3485,396,2021-12-21 11:29:08.469659,0,GA,27,37,0,
Gujarat,828454,817778,10099,577,2021-12-20 23:55:46.941831,0,GJ,70,63,1,
Haryana,772228.0,761935,10061.0,232.0,2021-12-20T23:55:53.694585+05:30,0,HR,31.0,32,0.0,
Himachal Pradesh,228328,224006,3851,471,2021-12-20 23:09:05,0,HP,33,70,0,
Jharkhand,349573,344272,5142,159,2021-12-21 11:29:08.469659,0,JH,32,17,0,
Karnataka,3002649,2957256,38290,7103,2021-12-20T23:56:06.283842+05:30,0,KA,0.0,0.0,0.0,
Kerala,5219819,5145501,44922,29396,2021-12-20 23:56:08.175279,0,KL,2230,3722,419,
Madhya Pradesh,793509,782796,10530,183,2021-12-21 11:29:08.469659,0,MP,20,17,1,
Maharashtra,6650140,6498015,141353,10772,2021-12-21 11:35:53.691072,0,MH,544,515,4,
Manipur,125650,123451,1995,204,2021-12-20 19:56:16,0,MN,23,14,0,
Meghalaya,84757,83184,1479,94,2021-12-21T11:40:27.588444+05:30,0,ML,5.0,23.0,1.0,
Mizoram,139705,137303,533,1869,2021-12-21 11:29:08.469659,0,MZ,217,944,2,
Nagaland,32170,31386,701,83,2021-12-20T23:56:17.415641+05:30,0,NL,1.0,0.0,0.0,
Odisha,1053020,1042875,8445,1700,2021-12-20 23:56:17.543914,0,OR,186,174,1,
Punjab,603986,587058,16630,298,2021-12-21 11:29:08.469659,0,PB,24,44,1,
Rajasthan,955252,946082,8960,210,2021-12-20T23:56:19.902380+05:30,0,RJ,14,45,0,
Sikkim,32463,31959,407,97,2021-12-21 11:29:08.469659,0,SK,2,9,1,
Tamil Nadu,2740411,2696553,36686,7172,2021-12-20T23:56:22.959871+05:30,0,TN,605,697,6,
Telangana,679720,672063,4015,3642,2021-12-21 11:29:08.469659,0,TG,156,207,0,
Tripura,84970,84020,824,126,2021-12-21 11:35:53.788597,0,TR,9,7,0,
Uttarakhand,344602,337018,7414,170,2021-12-20T23:56:25.532289+05:30,0,UT,11,8,1,
Uttar Pradesh,1710722,1687604,22915,203,2021-12-21 11:29:08.469659,0,UP,27,20,0,
West Bengal,1627490,1600340,19676,7474,2021-12-20T23:56:29.496600+05:30,0,WB,414,422,7,
Andaman and Nicobar Islands,7702,7570,129,3,2021-12-21 11:29:08.469659,0,AN,0,0,0,
Chandigarh,65717,64539,1078,100,2021-12-21 11:29:08.469659,0,CH,14,2,1,
Dadra and Nagar Haveli and Daman and Diu,10691,10682,4,5,2021-12-21 11:29:08.469659,0,DN,1,2,0,
Delhi,1442288,1416656,25101,531,2021-12-21 11:29:08.469659,0,DL,91,100,0,
Jammu and Kashmir,339932,334056,4513,1363,2021-12-20 23:09:47,0,JK,105,192,1,
Ladakh,21971,21572,218,181,2021-12-21T11:41:57.702147+05:30,0,LA,13,19,1,
Lakshadweep,10411,10355,51,5,2021-12-21 11:29:08.469659,0,LD,0,0,0,
Puducherry,129325,127316,1880,129,2021-12-21 11:29:08.469659,0,PY,10,32,0,
